Scopus refine results values

"Your query : (TITLE-ABS-KEY((Augmented Reality OR Mixed reality OR VR OR AR OR MR) AND (security OR authentication OR Risks OR privacy )) AND ( LIMIT-TO ( SRCTYPE,""j"" ) OR LIMIT-TO ( SRCTYPE,""p"" ) )  AND ( LIMIT-TO ( OA,""all"" ) )  AND ( LIMIT-TO ( PUBSTAGE,""final"" ) )  AND ( LIMIT-TO ( DOCTYPE,""ar"" ) )  AND ( LIMIT-TO ( SUBJAREA,""COMP"" ) OR LIMIT-TO ( SUBJAREA,""ENGI"" ) )  AND ( LIMIT-TO ( PUBYEAR,2023) OR LIMIT-TO ( PUBYEAR,2022) OR LIMIT-TO ( PUBYEAR,2021) OR LIMIT-TO ( PUBYEAR,2020) OR LIMIT-TO ( PUBYEAR,2019) OR LIMIT-TO ( PUBYEAR,2018) OR LIMIT-TO ( PUBYEAR,2017) OR LIMIT-TO ( PUBYEAR,2016) OR LIMIT-TO ( PUBYEAR,2015) )  AND ( LIMIT-TO ( LANGUAGE,""English"" ) )  AND ( LIMIT-TO ( EXACTKEYWORD,""Virtual Reality"" ) OR LIMIT-TO ( EXACTKEYWORD,""Security Of Data"" ) ) )"


Number of results : 50

"OPEN ACCESS",,"YEAR",,"AUTHOR NAME",,"SUBJECT AREA",,"DOCUMENT TYPE",,"PUBLICATION STAGE",,"SOURCE TITLE",,"KEYWORD",,"AFFILIATION",,"FUNDING SPONSOR",,"COUNTRY",,"SOURCE TYPE",,"LANGUAGE",
,,,,"Chaitanya, M.","1",,,,,,,"Wireless Communications And Mobile Computing","1","Electrodes","2","Korea University","1","University of New South Wales","1","Nigeria","1",,,,
,,,,"Chen, M.","1",,,,,,,,,"Embedded Systems","2","Università Campus Bio-Medico di Roma","1","Università degli Studi di Padova","1","Norway","1",,,,
,,,,"Chen, Z.","1",,,,,,,,,"Emergency Services","2","Ruhr-Universitat Bochum","1","Undefined","26","Serbia","1",,,,
,,,,"Cheng, K.","1",,,,,,,,,"Emerging Technologies","2","College of Sciences","1",,,"Switzerland","1",,,,
,,,,"Cheng, Y.","1",,,,,,,,,"Enabling Technologies","2","Nanyang Technological University","1",,,,,,,,
,,,,"Chengoden, R.","1",,,,,,,,,"Humans","2","Nottingham Trent University","1",,,,,,,,
,,,,"Cheung, C.M.K.","1",,,,,,,,,"Industrial Research","2","University of Rousse","1",,,,,,,,
,,,,"Conboy, K.","1",,,,,,,,,"Industrial Robots","2","Delft University of Technology","1",,,,,,,,
,,,,"Conti, M.","1",,,,,,,,,"Information Dissemination","2","Geisel School of Medicine at Dartmouth","1",,,,,,,,
,,,,"Damala, A.","1",,,,,,,,,"Information Management","2","Laboratoire d'Informatique, de Robotique et de Microélectronique de Montpellie","1",,,,,,,,
,,,,"Das, A.","1",,,,,,,,,"Innovation","2","Handelshøyskolen BI","1",,,,,,,,
,,,,"Dave, A.","1",,,,,,,,,"Interactive Computer Graphics","2","Nanchang University","1",,,,,,,,
,,,,"Davidson, I.E.","1",,,,,,,,,"Internet Of Everything","2","Tohoku University","1",,,,,,,,
,,,,"Davis, W.","1",,,,,,,,,"Kinect","2","University of Galway","1",,,,,,,,
,,,,"De Marinis, M.G.","1",,,,,,,,,"Machinery","2","Bangalore University","1",,,,,,,,
,,,,"De Salvatore, S.","1",,,,,,,,,"Medical Services","2","Food and Drug Administration","1",,,,,,,,
,,,,"Debauche, O.","1",,,,,,,,,"Motion Capture","2","Vellore Institute of Technology","1",,,,,,,,
,,,,"Denaro, V.","1",,,,,,,,,"Network Security","2","University of Piraeus","1",,,,,,,,
,,,,"Deng, R.H.","1",,,,,,,,,"Next Generation Networks","2","Dartmouth College","1",,,,,,,,
,,,,"Dennehy, D.","1",,,,,,,,,"Nursing","2","Université de Mons","1",,,,,,,,
,,,,"Devi, O.R.","1",,,,,,,,,"Personnel Training","2","Rathenau Institute - KNAW","1",,,,,,,,
,,,,"Dong, Z.","1",,,,,,,,,"Safety Engineering","2","The University of Chicago Medicine","1",,,,,,,,
,,,,"Doyle, R.","1",,,,,,,,,"Security Systems","2","Trinity College Dublin","1",,,,,,,,
,,,,"Du, E.J.","1",,,,,,,,,"Simulation","2","Tampere University","1",,,,,,,,
,,,,"Dubey, R.","1",,,,,,,,,"Sustainable Development","2","Chia-Nan University of Pharmacy and Science Taiwan","1",,,,,,,,
,,,,"Dutot, V.","1",,,,,,,,,"Teaching","2","Technical University of Denmark","1",,,,,,,,
,,,,"Dutta, A.","1",,,,,,,,,"User Interfaces","2","Universitat Politècnica de València","1",,,,,,,,
,,,,"Dwivedi, Y.K.","1",,,,,,,,,"Virtual Worlds","2","University of Oregon","1",,,,,,,,
,,,,"ElBakoury, H.","1",,,,,,,,,"Visual Communication","2","Norges Teknisk-Naturvitenskapelige Universitet","1",,,,,,,,
,,,,"Felix, R.","1",,,,,,,,,"360 Modules","1","King Saud University","1",,,,,,,,
,,,,"Fernandes, R.","1",,,,,,,,,"360-degree Training Environments","1","University of Florida","1",,,,,,,,
